ticker,company_name,sector
BE,BLOOM ENERGY CLASS A CORP,Industrials
CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,Information Technology
STRL,STERLING INFRASTRUCTURE INC,Industrials
FN,FABRINET,Information Technology
CDE,COEUR MINING INC,Materials
SITM,SITIME CORP,Information Technology
NXT,NEXTPOWER INC CLASS A,Industrials
SATS,ECHOSTAR CORP CLASS A,Communication
IONQ,IONQ INC,Information Technology
TTMI,TTM TECHNOLOGIES INC,Information Technology
MOD,MODINE MANUFACTURING,Industrials
RMBS,RAMBUS INC,Information Technology
AEIS,ADVANCED ENERGY INDUSTRIES INC,Information Technology
SANM,SANMINA CORP,Information Technology
DY,DYCOM INDUSTRIES INC,Industrials
VIAV,VIAVI SOLUTIONS INC,Information Technology
HL,HECLA MINING,Materials
DOCN,DIGITALOCEAN HOLDINGS INC,Information Technology
GH,GUARDANT HEALTH INC,Health Care
SMTC,SEMTECH CORP,Information Technology
FORM,FORMFACTOR INC,Information Technology
BBIO,BRIDGEBIO PHARMA INC,Health Care
ARWR,ARROWHEAD PHARMACEUTICALS INC,Health Care
AAOI,APPLIED OPTOELECTRONICS INC,Information Technology
KTOS,KRATOS DEFENSE AND SECURITY SOLUTI,Industrials
HUT,HUT CORP,Information Technology
SPXC,SPX TECHNOLOGIES INC,Industrials
APLD,APPLIED DIGITAL CORP,Information Technology
ENSG,ENSIGN GROUP INC,Health Care
PL,PLANET LABS CLASS A,Industrials
UMBF,UMB FINANCIAL CORP,Financials
GTLS,CHART INDUSTRIES INC,Industrials
AGX,ARGAN INC,Industrials
MDGL,MADRIGAL PHARMACEUTICALS INC,Health Care
AXSM,AXSOME THERAPEUTICS INC,Health Care
FCFS,FIRSTCASH HOLDINGS INC,Financials
SNEX,STONEX GROUP INC,Financials
MOGA,MOOG INC CLASS A,Industrials
AHR,AMERICAN HEALTHCARE REIT INC,Real Estate
CTRE,CARETRUST REIT INC,Real Estate
CYTK,CYTOKINETICS INC,Health Care
OKLO,OKLO INC CLASS A,Utilities
POWL,POWELL INDUSTRIES INC,Industrials
ESE,ESCO TECHNOLOGIES INC,Industrials
PRAX,PRAXIS PRECISION MEDICINES INC,Health Care
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives
ONB,OLD NATIONAL BANCORP,Financials
RIOT,RIOT PLATFORMS INC,Information Technology
WULF,TERAWULF INC,Information Technology
FLR,FLUOR CORP,Industrials
ENS,ENERSYS,Industrials
VSAT,VIASAT INC,Information Technology
USD,USD CASH,Cash and/or Derivatives
LUMN,LUMEN TECHNOLOGIES INC,Communication
WTS,WATTS WATER TECHNOLOGIES INC CLASS,Industrials
QBTS,D WAVE QUANTUM INC,Information Technology
CMC,COMMERCIAL METALS,Materials
ZWS,ZURN ELKAY WATER SOLUTIONS CORP,Industrials
GKOS,GLAUKOS CORP,Health Care
ORA,ORMAT TECH INC,Utilities
UEC,URANIUM ENERGY CORP,Energy
JXN,JACKSON FINANCIAL INC CLASS A,Financials
KRYS,KRYSTAL BIOTECH INC,Health Care
SM,SM ENERGY,Energy
IDCC,INTERDIGITAL INC,Information Technology
FSS,FEDERAL SIGNAL CORP,Industrials
JBTM,JBT MAREL CORP,Industrials
SLAB,SILICON LABORATORIES INC,Information Technology
HQY,HEALTHEQUITY INC,Health Care
TEX,TEREX CORP,Industrials
PLXS,PLEXUS CORP,Information Technology
RHP,RYMAN HOSPITALITY PROPERTIES REIT,Real Estate
BTSG,BRIGHTSPRING HEALTH SERVICES INC,Health Care
TRNO,TERRENO REALTY REIT CORP,Real Estate
CWAN,CLEARWATER ANALYTICS HOLDINGS INC,Information Technology
MXL,MAXLINEAR INC,Information Technology
CIFR,CIPHER DIGITAL INC,Information Technology
SSRM,SSR MINING INC,Materials
MYRG,MYR GROUP INC,Industrials
AROC,ARCHROCK INC,Energy
GATX,GATX CORP,Industrials
VLY,VALLEY NATIONAL,Financials
CORZ,CORE SCIENTIFIC INC,Information Technology
PCVX,VAXCYTE INC,Health Care
AVAV,AEROVIRONMENT INC,Industrials
NPO,ENPRO INC,Industrials
EAT,BRINKER INTERNATIONAL INC,Consumer Discretionary
SWX,SOUTHWEST GAS HOLDINGS INC,Utilities
EPRT,ESSENTIAL PROPERTIES REALTY TRUST,Real Estate
ROAD,CONSTRUCTION PARTNERS INC CLASS A,Industrials
GBCI,GLACIER BANCORP INC,Financials
TGTX,TG THERAPEUTICS INC,Health Care
ACA,ARCOSA INC,Industrials
GVA,GRANITE CONSTRUCTION INC,Industrials
NE,NOBLE CORPORATION PLC,Energy
UBSI,UNITED BANKSHARES INC,Financials
IESC,IES INC,Industrials
VICR,VICOR CORP,Industrials
RGTI,RIGETTI COMPUTING INC,Information Technology
TXNM,TXNM ENERGY INC,Utilities
LNTH,LANTHEUS HOLDINGS INC,Health Care
KRG,KITE REALTY GROUP TRUST REIT,Real Estate
JOBY,JOBY AVIATION INC CLASS A,Industrials
KGS,KODIAK GAS SERVICES INC,Energy
PRIM,PRIMORIS SERVICES CORP,Industrials
HWC,HANCOCK WHITNEY CORP,Financials
PTGX,PROTAGONIST THERAPEUTICS INC,Health Care
ALKS,ALKERMES,Health Care
BKH,BLACK HILLS CORP,Utilities
ESNT,ESSENT GROUP LTD,Financials
TMHC,TAYLOR MORRISON HOME CORP,Consumer Discretionary
VAL,VALARIS LTD,Energy
RIG,TRANSOCEAN LTD,Energy
ABCB,AMERIS BANCORP,Financials
PIPR,PIPER SANDLER COMPANIES,Financials
NJR,NEW JERSEY RESOURCES CORP,Utilities
COMP,COMPASS INC CLASS A,Real Estate
MATX,MATSON INC,Industrials
MAC,MACERICH REIT,Real Estate
POR,PORTLAND GENERAL ELECTRIC,Utilities
UUUU,ENERGY FUELS INC,Energy
SYRE,SPYRE THERAPEUTICS INC,Health Care
GLNG,GOLAR LNG LTD,Energy
VSEC,VSE CORP,Industrials
CWST,CASELLA WASTE SYSTEMS INC CLASS A,Industrials
AUB,ATLANTIC UNION BANKSHARES CORP,Financials
HASI,HA SUSTAINABLE INFRASTRUCTURE CAPI,Financials
HIMS,HIMS HERS HEALTH INC CLASS A,Health Care
REZI,RESIDEO TECHNOLOGIES INC,Industrials
BCPC,BALCHEM CORP,Materials
MUR,MURPHY OIL CORP,Energy
DIOD,DIODES INC,Information Technology
SBRA,SABRA HEALTH CARE REIT INC,Real Estate
YOU,CLEAR SECURE INC CLASS A,Information Technology
OGS,ONE GAS INC,Utilities
SIGI,SELECTIVE INSURANCE GROUP INC,Financials
RDN,RADIAN GROUP INC,Financials
NUVL,NUVALENT INC CLASS A,Health Care
PECO,PHILLIPS EDISON AND COMPANY INC,Real Estate
MGY,MAGNOLIA OIL GAS CORP CLASS A,Energy
RYTM,RHYTHM PHARMACEUTICALS INC,Health Care
PTCT,PTC THERAPEUTICS INC,Health Care
KNF,KNIFE RIVER CORP,Materials
HOMB,HOME BANCSHARES INC,Financials
IBP,INSTALLED BUILDING PRODUCTS INC,Consumer Discretionary
BOOT,BOOT BARN HOLDINGS INC,Consumer Discretionary
KLIC,KULICKE AND SOFFA INDUSTRIES INC,Information Technology
LBRT,LIBERTY ENERGY INC CLASS A,Energy
SR,SPIRE INC,Utilities
LGN,LEGENCE CORP CLASS A,Industrials
SXT,SENSIENT TECHNOLOGIES CORP,Materials
COGT,COGENT BIOSCIENCES INC,Health Care
CNX,CNX RESOURCES CORP,Energy
INDV,INDIVIOR PHARMACEUTICALS INC,Health Care
ACLS,AXCELIS TECHNOLOGIES INC,Information Technology
FTDR,FRONTDOOR INC,Consumer Discretionary
NOVT,NOVANTA INC,Information Technology
ACIW,ACI WORLDWIDE INC,Information Technology
UFPI,UFP INDUSTRIES INC,Industrials
OUT,OUTFRONT MEDIA INC,Real Estate
USAR,USA RARE EARTH INC CLASS A,Materials
LTH,LIFE TIME GROUP HOLDINGS INC,Consumer Discretionary
KYMR,KYMERA THERAPEUTICS INC,Health Care
XENE,XENON PHARMACEUTICALS INC,Health Care
MARA,MARA HOLDINGS INC,Information Technology
ASB,ASSOCIATED BANCORP,Financials
GTX,GARRETT MOTION INC,Consumer Discretionary
CRSP,CRISPR THERAPEUTICS AG,Health Care
MRCY,MERCURY SYSTEMS INC,Industrials
AX,AXOS FINANCIAL INC,Financials
MIR,MIRION TECHNOLOGIES INC CLASS A,Information Technology
BIPC,BROOKFIELD INFRASTRUCTURE CORP CLA,Utilities
AIR,AAR CORP,Industrials
URBN,URBAN OUTFITTERS INC,Consumer Discretionary
CELC,CELCUITY INC,Health Care
HCC,WARRIOR MET COAL INC,Materials
CVLT,COMMVAULT SYSTEMS INC,Information Technology
TDS,TELEPHONE AND DATA SYSTEMS INC,Communication
CSTM,CONSTELLIUM SE CLASS A,Materials
CNR,CORE NATURAL RESOURCES INC,Energy
ATMU,ATMUS FILTRATION TECHNOLOGIES INC,Industrials
BCO,BRINKS,Industrials
CRC,CALIFORNIA RESOURCES CORP,Energy
NWE,NORTHWESTERN ENERGY GROUP INC,Utilities
TCBI,TEXAS CAPITAL BANCSHARES INC,Financials
CSW,CSW INDUSTRIALS INC,Industrials
CNO,CNO FINANCIAL GROUP INC,Financials
BDC,BELDEN INC,Information Technology
RUSHA,RUSH ENTERPRISES INC CLASS A,Industrials
MIRM,MIRUM PHARMACEUTICALS INC,Health Care
MTH,MERITAGE CORP,Consumer Discretionary
EBC,EASTERN BANKSHARES INC,Financials
FFIN,FIRST FINANCIAL BANKSHARES INC,Financials
FLG,FLAGSTAR BANK NATIONAL ASSOCIATION,Financials
HRI,HERC HOLDINGS INC,Industrials
KTB,KONTOOR BRANDS INC,Consumer Discretionary
AZZ,AZZ INC,Industrials
PI,IMPINJ INC,Information Technology
CBT,CABOT CORP,Materials
CRNX,CRINETICS PHARMACEUTICALS INC,Health Care
